Timestamp,Date,Symbol,Mode,Side,EntryPrice,ClosePrice,Qty,PnL_USDT,Strategy,Regime,Reason
1773391861701,2026-03-13 08:51:01,PIXEL_USDT,PAPER,BUY,0.0148,0.0149,674763.8327,27.68,LiquiditySweepStrategy,high_volatility,SL
1773391924215,2026-03-13 08:52:04,VVV_USDT,PAPER,SELL,6.5350,6.5938,1530.2219,-89.99,TrendPullbackStrategy,strong_trend,SL
1773392889795,2026-03-13 09:08:09,VVV_USDT,PAPER,SELL,6.6600,6.7183,1501.5015,-87.51,LiquiditySweepStrategy,high_volatility,SL
1773393240344,2026-03-13 09:14:00,PIXEL_USDT,PAPER,SELL,0.0154,0.0156,648929.2667,-123.16,LiquiditySweepStrategy,high_volatility,SL
1773393420403,2026-03-13 09:17:00,PIXEL_USDT,PAPER,SELL,0.0157,0.0159,638569.6041,-135.76,LiquiditySweepStrategy,high_volatility,SL
1773393903056,2026-03-13 09:25:03,PIXEL_USDT,PAPER,SELL,0.0159,0.0158,629524.7088,28.92,LiquiditySweepStrategy,high_volatility,SL
1773395520376,2026-03-13 09:52:00,PIXEL_USDT,PAPER,SELL,0.0158,0.0157,473156.2883,40.00,LiquiditySweepStrategy,high_volatility,SL
1773396060348,2026-03-13 10:01:00,PIXEL_USDT,PAPER,SELL,0.0157,0.0154,636861.5463,180.71,LiquiditySweepStrategy,high_volatility,TP
1773397025639,2026-03-13 10:17:05,VVV_USDT,PAPER,BUY,6.5950,6.6110,1516.3002,24.26,TrendPullbackStrategy,weak_trend,SL
1773397140382,2026-03-13 10:19:00,PIXEL_USDT,PAPER,SELL,0.0157,0.0157,635324.0152,21.64,LiquiditySweepStrategy,high_volatility,SL
1773398040493,2026-03-13 10:34:00,PIXEL_USDT,PAPER,SELL,0.0157,0.0160,637308.0110,-186.96,LiquiditySweepStrategy,high_volatility,SL
